question,answerFormat,targetURL,existingPageFit,schema,cluster
What is the City2Surf and how long is it?,short-answer+detail,/bondi-blog/ultimate-guide-city-to-surf,yes,FAQPage+BlogPosting,city2surf
How do I train for Heartbreak Hill / City2Surf?,steps,/bondi-blog/2025/6/18/how-to-train-for-heartbreak-hill-without-being-a-fitness-freak,yes,FAQPage+HowTo,city2surf
When is Sculpture by the Sea at Bondi?,short-answer+detail,/bondi-blog/2023/9/21/sculptures-by-the-sea-at-bondi-a-comprehensive-guide-to-art-by-the-ocean,needs-edit,FAQPage+Event,events
What happens at Bondi on New Year's Eve?,short-answer+detail,/bondi-blog/2023/12/24/insiders-guide-to-new-years-eve-at-bondi-beach,needs-edit,FAQPage+Event,events
What is on at Bondi on Christmas Day?,short-answer+detail,/bondi-blog/2023/12/13/christmas-day-at-bondi-beach,needs-edit,FAQPage+Event,events
When are the Bondi Sunday markets?,short-answer+detail,/bondi-blog/2023/9/4/bond-market-sunday-guide,needs-edit,FAQPage+BlogPosting,events
Can you jump off the cliff at Bronte Beach?,short-answer+detail,/bondi-blog/2024/12/26/can-you-jump-from-the-cliff-at-bronte-beach,yes,FAQPage+BlogPosting,safety
Can you go metal detecting at Bondi Beach?,short-answer+detail,/bondi-blog/2024/9/18/guide-to-metal-detecting-at-bondi-beach,yes,FAQPage+BlogPosting,practical
Where is the best place to watch the sunrise at Bondi?,list,/bondi-blog/sunrise-sunset-bondi,needs-edit,FAQPage+BlogPosting,weather
What is Mackenzies Bay (the secret beach)?,short-answer+detail,/mackenzies-bay,needs-edit,FAQPage+Place,orientation
Where is the best spot to sit on Bondi Beach?,short-answer+detail,/bondi-blog/2025/1/5/the-best-places-to-sit-on-bondi-beach-a-complete-guide,yes,FAQPage+BlogPosting,practical
